,phylum,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
10,Cercozoa,0.19437946217350605,0.14586499149789456,0.23791547571544325,0.25237723256253436,0.15944820103582016,0.0827605888602368,0.039103094350288754,0.12909944487358055,0.09782319760890369,0.26475169110682795,0.20455073743230656,0.08435776067342773,0.10702688317798925,0.07980868844676221,0.06520265578660595,0.04181210050035454,0.05913123959890826,0.0455802844097073,0.032303716710272753,0.024427408163270582,0.20466920399990238,0.22919197137572206,0.22490219640861447,0.2596357338382263,0.2754057069002267,0.18390723606451267,0.1954283353193783,0.23922565845379254,0.31622776601683794,0.24679909203093464,0.36913918278033864,0.1631440148511402,0.15691374146236375,0.09279054963120441,0.12144217323009714,0.12534265615011156,0.09179850920431569,0.10731940312167591,0.11819362185329038,0.15191090506255,0.10568360597488173,0.02374633815175422,0.20976176963403032,0.17599275930399416,0.02374366054694763,0.06835859270246632,0.04920678313051229,0.07773220743364717,0.19744125923286052,0.15026857675938213,0.08266627476821893,0.18397324220155997,0.16351748504193214,0.17902871850985821
11,Chaetognatha,,,,,,,,,,,,,0.06768974434224127,,0.027191387132618546,0.047170411060251896,,,0.04568435428672611,0.034545571918120514,0.021110016546037454,,,0.053868225460708415,0.025794107751137895,0.02374232208416312,0.056415301001961765,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Chlorophyta,0.10037712264569912,0.11909826683508273,,0.09215513551681828,0.14062009564580388,0.2617119612951068,0.19938744113398213,0.12909944487358055,,0.18085983626508062,0.11203705304599067,,0.2911445990374589,0.2718185981835521,0.08598671607846956,0.06670903506412208,0.5483605572060236,0.5848976518656018,0.07223330649006576,0.04308589811592201,0.13962963488318447,0.1588466285603117,0.26404498467170373,0.19820624179302296,0.16979760432943938,0.34323876865989544,0.34316087907022863,0.19403763142658323,0.282842712474619,0.15208649083304218,0.16239958858823003,0.15197150616050462,0.13828452434669172,0.4984601133740254,0.15868161870584732,0.16283609542317928,1.0,0.2064617507526904,0.6677329462769195,0.7400623674341965,0.17726305065866402,0.05816641173138281,0.11832159566199232,0.1273742077131806,0.05718230682456182,0.20124224796896215,0.19057705158491414,0.29599542741630236,0.13018891098082386,0.13912166872805048,0.1262748205151271,0.11094003924504582,0.11170370790654759,0.1386750490563073
13,Chordata,0.05018856132284956,0.08421519210665189,,,0.13018891098082386,0.05852057359806528,0.039103094350288754,0.048795003647426664,0.09782319760890369,,0.11203705304599067,0.36025895276373765,0.18844027313890302,0.16740811720763832,0.1974888564674865,0.2388651916538961,0.32522181779399545,0.3102585821724104,0.21253222422196835,0.1282277361461953,0.10013360059397863,0.08014209195600784,0.13585002385551787,0.17550946250436594,0.14049306451005658,0.17925060084430391,0.17840084605017847,0.0776150525706333,,0.06208904988523744,0.09944903161976938,0.23193800919001434,0.21793132689472328,0.380974344824575,0.048970210687439175,0.038211383124102945,0.079499841000477,0.07705084104919317,0.07629365484428845,0.05547001962252291,0.05031546054266276,0.01061968526480383,0.08944271909999159,0.2924820040854895,0.010618487803530948,0.06835859270246632,,0.054964970992931274,,,0.047727395990334764,0.05547001962252291,0.11170370790654759,0.14978617237881953
14,Chytridiomycota,0.05018856132284956,0.08421519210665189,,0.06516352124510746,,,0.07820618870057751,0.12909944487358055,,,0.15844431990595387,,0.07567943486441663,0.03569153051241248,,0.028189712406638288,0.02956561979945413,,0.034534125785498526,0.023030381278747007,0.040879371260483036,0.054607630857426814,0.06917144638660747,0.0668153104781061,0.055721641293972335,0.07122696625248935,0.0756890688068991,0.061360086709227,,0.09618794247494646,0.05741692517632146,0.05566107427466651,0.06324160072683319,0.035071531191594715,0.01896608104527204,0.02647362279937051,,0.039288374204857195,0.06823911939349404,0.08770580193070292,0.012203291671705663,,0.10954451150103323,,,0.03946685189819292,,,0.1089238577156585,0.05679618342470648,0.047727395990334764,0.05547001962252291,0.05970814340265321,0.12659242088545833
15,Ciliophora,0.2354052189915582,0.23819653367016547,,0.18431027103363656,0.21259760138109354,0.1013606067599229,0.19938744113398213,0.09759000729485333,0.309344112444873,0.13671718540493263,0.09147787074926965,,0.19442398845107403,0.1471599502426323,0.12826151658178506,0.12732266752470717,0.11450715310358611,0.12059409723568,0.14186339772328768,0.0846190240720148,0.19057563612324363,0.16728676172715226,0.3048928859567575,0.17866069197543946,0.18540683120728801,0.26756238143545846,0.24067589951215193,0.17355253362515582,,0.1442819137124197,0.13667962057789992,0.3343878545798613,0.2585858497091271,0.16819715485949524,0.31508820279338984,0.36818011061959605,0.28294200779538003,0.22569452690043085,0.3722004542099407,0.39613517506411483,0.26144680219835703,0.018393834439030782,0.22803508501982758,0.184182800051493,0.01839176037526605,0.1308967394028317,0.12053151055354618,0.10992994198586255,0.1697455723193801,0.11359236684941296,0.10672170182343944,0.14675987714106856,0.15797289868880232,0.1386750490563073
16,Cnidaria,0.05018856132284956,0.25264557631995566,0.09712858623572641,0.07980868844676221,0.09205746178983233,0.05852057359806528,0.039103094350288754,0.08451542547285165,0.13834289277321493,,0.09147787074926965,0.0758996644572545,0.06768974434224127,,0.09990753581009343,0.18952210115898815,0.05120915564991892,0.07443229275647868,0.08546760083846326,0.060386169154705176,0.26260555131093977,0.22000010426547698,0.15902986818428008,0.10350983390135313,0.11044377107417173,0.1007301416809612,0.10704050763010708,0.12871000373025,,0.11106826896141314,0.09376144618769909,0.17359896450960127,0.16917866982042898,0.14879590519303285,0.05136039026574273,0.0576979232259352,0.079499841000477,0.10394726756209716,0.07629365484428845,0.12403473458920845,0.34451342661339407,0.018393834439030782,0.14832396974191325,0.1273742077131806,0.01839176037526605,0.07893370379638584,,0.054964970992931274,,0.11359236684941296,0.047727395990334764,0.05547001962252291,0.10341753799900383,0.09805806756909202
17,Cryptomycota,,,,,,,,,,,,,0.04786387724118254,,0.023548432020984965,,,,,0.011515190639373504,0.010555008273018727,0.010709437512811186,0.036973693332326786,0.021128856368212913,0.03647837701097219,0.03357671389365373,0.0252296896022997,,,0.03926856307863329,,,,,0.01095007199696007,,,0.026691194292623246,,,,,,,,,,,,,0.10672170182343944,,,
18,Ctenophora,,,,,,,,,,,,,0.03384487217112064,,,0.01260682264148248,,,,,0.10502100630210073,0.09756761913046262,0.15244644297837875,0.01494035761667992,,,,,,,,0.011866980908481739,0.011179641181758961,,,0.010807811250228158,,0.010896634440402259,0.03411955969674702,,0.029891837778034402,,,,,,,,,,,,,
19,Discosea,,,0.09712858623572641,,,,,,0.06917144638660747,,,,,0.05047544651250688,,,0.02956561979945413,,,0.00814246938775686,0.010555008273018727,0.015145431776004767,0.036973693332326786,,0.021060800786885447,,,,,0.04809397123747323,,0.02055421386594025,0.022359282363517922,,0.01095007199696007,0.007642276624820589,,,,,0.04047373968231659,,,,,,,,,,,,,
