,class,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
13,Caldilineae,0.13902204704056847,0.16303175411722495,0.03174633938497592,0.11713746416253043,0.12922727517777596,0.13462514060886946,0.11617360979996565,0.18460769214742923,0.19196334469318602,0.1786230397970322,0.16717121975687477,,,,0.04211693151426613,0.027687131174178918,,,0.016586234162292005,,0.038242407337646944,0.050745515034703696,0.015221564138699576,0.043881541812580534,0.022020165024139088,,,0.20360702194417238,0.013738766710529683,0.2136259639684754,0.20280971101981352,0.06873654881077718,0.07711582216300271,,0.022727272727272728,0.018873897989855892,,0.022399913984495447,0.007598468303169561,,0.00798621172892349,0.10278895211157858,0.14560245779023143,0.16934128435864448,0.1027490480174813,0.1197563802591622,0.11065960000737102,0.1095242042596806,0.2164013679835554,0.17097626176607808,0.19331992507624138,0.18359069085892643,0.12121032599561016,0.111773463563049
14,Caldisericia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017054817003221697,,,,,
15,Calditrichae,0.09138505798909233,0.027756369082668448,0.012451938769933184,0.06626295619225717,0.06294948756515448,0.12421687086146062,0.029854071701326604,0.0938083151964686,0.09121924668525094,0.09629062453919283,0.08743948229225798,,,,,,,0.005658121810760757,,0.018486846666163393,0.01060653542715895,0.013102435641608368,,,0.008989694726836932,0.009760627636344927,,0.02416370791228172,0.007174836914073542,0.03377723067447225,0.04578085650259949,0.01388687993698876,0.013632280197058767,0.007175329429178656,0.008590101659300619,,,0.009144726590707844,,,,0.09971993098884563,0.0778277873890372,0.0727606875108999,0.09968121833123207,0.11314043734876769,0.12452198677679253,0.1109653741829243,0.10513295275273322,0.10667353323003545,0.09603024923849587,0.08006407690254357,0.0850146349263394,0.11492262798503906
16,Candidatus_Babeliae,0.026754805427388343,,0.024903877539866368,0.04057760787985625,,0.039899457278996436,0.03742405942825599,0.052153619241621194,0.04560962334262547,0.06395730782239616,0.036307268825615815,,,,,,,,,0.018486846666163393,0.0212130708543179,0.022694084234167015,0.008788174152965353,0.021940770906290267,0.020101568506178783,0.020705417970888963,0.025004207792862124,0.12321121816548086,0.014935614055741403,0.15293291632852762,0.23455709130279914,0.029458520918904506,0.009639477770375339,0.016044524364598238,,,0.0076780099211776415,0.03167826215286422,0.022795404909508685,0.027260858471790474,0.00798621172892349,0.012464991373605704,0.023829795864119575,0.021004201260420147,0.012460152291404009,0.03266083097977151,0.03566881875032109,0.0321361102769227,0.039997091226407815,0.06717483389491263,0.04926247843201931,0.024906774069335894,0.021770017209205406,0.018893163659210736
17,Candidatus_Brocadiae,0.04086864035827414,0.04388667293875536,,0.04382882580516998,0.06294948756515448,,,0.06693280212272604,0.03447763450168957,0.05720515517950275,0.06694729581212983,,,,,,,,0.016586234162292005,,0.014999906250878898,,,0.008292831913012185,0.008989694726836932,,,0.04411669298840921,0.004142394023732023,0.07296715783718756,0.05835937016393648,0.021957085097090014,,,,0.0062912993299519635,,,0.007598468303169561,,,,0.06453139225824754,0.07071067811865475,,0.02177388731984767,0.017834409375160544,0.01992996954463821,0.048238307019494775,0.052409099908204394,0.05965982410736932,0.04981354813867179,0.034421419541075714,0.04224639825202388
18,Candidatus_Peribacteria,0.037837008694065886,0.01962671679947149,0.017609700686278863,,,,,0.012649110640673518,,,,,,,,,,,,,,,0.008788174152965353,,0.020101568506178783,0.026730579659172242,0.020804758453735535,,,0.013789496679456848,0.016185977040758175,,,0.016044524364598238,,,,,,0.01690646672611253,,0.012464991373605704,0.030764134175085833,0.03638034375544995,0.012460152291404009,0.010886943659923836,,0.008912953338262313,0.017054817003221697,0.014006921128979034,0.0179881137838858,0.014379932713576269,,
19,Candidatus_Riflemargulisbacteria,,,,,0.023792669893764516,0.019167079295731936,,,,,,,0.009015963371316719,,,,0.010651364940045671,0.009800154451651246,,,0.01060653542715895,0.013102435641608368,0.008788174152965353,,0.008989694726836932,0.015432907361817828,,0.02416370791228172,,,,,,0.010147448193239254,,0.008897240837366833,,,,0.007560801771785188,,,,,,0.01539646337665607,0.012610831807632958,0.008912953338262313,,0.019808777827692414,,,0.010885008604602703,
20,Chitinispirillia,0.01544689411561872,,,,0.023792669893764516,0.03670216258849804,0.007978836279039113,0.030983866769659335,0.04560962334262547,0.028602577589751373,,,,,,,,,0.016586234162292005,,,,,,,,,,,,,0.009819506972968168,,,,,,,,,,0.03297926726912611,0.030764134175085833,0.021004201260420147,0.03296646426104662,0.03079292675331214,0.02184260141652595,0.023581457980165036,0.03617873026462108,0.03705882994097459,0.022030850102822484,,,0.018893163659210736
21,Chitinivibrionia,0.02184520715484915,0.03399447068245025,,0.06626295619225717,0.05579875691899477,0.03129970942267146,,0.0282842712474619,0.04560962334262547,0.028602577589751373,0.028123489501577153,,0.006375248838787578,,,,,,,,0.01060653542715895,0.020716769761626043,0.008788174152965353,,0.017979389453673864,,,0.019729584892914265,,0.013789496679456848,,0.031052007534484862,0.034755631369783574,0.016044524364598238,0.008590101659300619,0.017794481674733666,0.0076780099211776415,0.009144726590707844,,,,0.03525631971083364,0.04960567582455639,0.04537426064865151,0.035242632719475496,0.037713479116255895,0.025221663615265916,0.025209638983538233,0.05783569835883257,0.04852139810600341,0.038158551712022565,0.047692841321489654,0.03265502581380811,0.04430839629004266
22,Chitinophagia,0.01544689411561872,,0.021567390602260983,0.023427492832506086,0.023792669893764516,0.024744592969268925,,0.0282842712474619,,0.016513705870960113,0.016237104234287186,0.08466337970088693,0.014255489777005623,0.006340171373344209,,,0.01844870524611693,0.014969983198983426,,,0.014999906250878898,0.009264821092241589,0.01242835507562029,0.008292831913012185,0.015570608011415585,,0.009807457189056365,,0.004142394023732023,0.019501293222386636,,0.05102365494737321,0.061722773747685485,0.012428035132381622,0.012148238268746562,0.016645213450520186,0.018807206546912113,0.046629139332490126,0.020103657475193604,0.013095692814688732,0.019562143713692796,,0.0194569468472593,0.017149858514250882,,0.02177388731984767,0.015445051580380387,0.012604819491769116,0.012059576754873694,,0.022030850102822484,,0.015393726795176981,
