,orderx,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
36,Bursovaginoidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01049669930702032,,,,,,,,,,0.009585300518739417,,,0.009584860210026594,0.07384650341622817,,,,,,,,
37,Calanoida,,,,0.03809696588797297,0.10132591204497189,,,,,,,,0.05372153093502535,0.08838834764831845,0.2551534719517312,0.23933520322362312,0.07448389227238586,,0.27121798834378974,0.3328468289731966,0.09611644743992243,0.08644137397391367,,0.1199453911453724,0.1544473120676975,,0.04785474204170223,0.05031546054266276,,0.04511405717380271,,0.02968914904028081,0.03074700231340454,,0.020133321342825528,0.01596631467761672,,0.3038608033426515,0.07397267214553091,,0.29403733458828,0.009585300518739417,,0.0669049754396898,0.009584860210026594,,,,,,,,0.06259175439244058,
38,Capitellida,0.04207031619116713,,,,,,,,,,,,,,,,,,,,,,,0.025768403601503658,0.020367908349181042,,0.04785474204170223,,,,,0.06120574871389149,0.02711630722733202,0.03456505649101418,,0.011289889379101088,0.029000739528287075,,,,,0.2208782709646741,,,0.22066005297798705,0.05221736333253049,,,,,,,,
39,Capnodiales,,,,,,,,,,,,0.07189367598118475,,,,,,,,,,0.010258703714131626,0.028736106756903905,0.01487739475591506,,,,0.02515773027133138,,,,0.014844574520140406,0.022917462425705283,,0.02324795699392311,0.025244960110122925,,0.012732914342459054,,,0.01907966171296492,,,,,,,,,,,,,
40,Carybdeida,,,,,,,,,,,,,,,,0.010495542964487809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Caryophyllales,,,,,,,,,,,,,,,,,,,,,,,0.028736106756903905,,,,0.04785474204170223,,,,,0.018180816511532222,0.03399209003391744,,,0.00798315733880836,,,,,0.025240019995872904,,,,,,,0.04025848411142373,,,,,0.03129587719622029,
42,Cephalaspidea,,,,,,,,,,,,,,,,0.010495542964487809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Cephalodiscida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026046613053531162,,,,,,,,0.009003530075820247,,,,,,,,,,,,,,,,
44,Ceramiales,,,,,0.06408413361120015,,,,,,,,,,0.023629373500277863,,,,,0.00741860992724474,,,,,,,,0.043574467033059505,,,,0.1718383735364608,0.16269784336399212,,0.02599200608820187,0.0309186354233583,,,,,0.00953983085648246,,,,,0.026108681666265246,,,,,,,,
45,Cercomonadida,,,,0.03809696588797297,0.07848671397789073,,,0.046373889576016826,,0.06482037235521644,0.08891084489487741,,0.0657951694959769,,,0.01484293920484818,0.03724194613619293,,0.013569382933450712,0.00741860992724474,0.055814557218594754,0.05025717904403422,0.08620832027071172,0.07288405170790035,0.07201143056146007,0.07040956669482475,0.07814646651645635,0.08343875188697214,,0.07813983916059349,0.11306057756186902,0.025711557285625568,0.03399209003391744,0.03456505649101418,0.030754156348122643,0.03570176496930363,0.0502307543200643,0.03246268934855208,0.036986336072765455,,0.023367717830840247,,0.03485780871878749,0.05984162924644012,,,,,0.0746393370862076,,,,,0.08183170883849714
46,Chaetocerotales,,,,0.12047318414773373,0.04531432544294438,,,0.046373889576016826,0.06551217820804184,0.14494275891311212,0.06286946134619315,,,,,0.01484293920484818,,,0.01919000537752001,0.01483721985448948,0.0740173569283018,0.06727081894444674,,0.02975478951183012,0.04320685833687604,,,0.06162360225133207,,,0.04434600701584929,0.08655799992638497,0.06720719249224057,,0.03675824752321914,0.02394947201642508,,0.020132505286997907,,,0.02861949256944738,,,0.05984162924644012,,,,0.04025848411142373,0.11195900562931138,0.06544199910036885,0.08929995329613663,0.04025848411142373,,
47,Chaetonotida,0.08414063238233425,0.08998425413316952,,,0.04531432544294438,,,0.09274777915203365,,0.09166984970282113,,,,,,,,,,,,,,,,,,,,,,0.027771655953399792,,,,,,,,,,,0.06037549574145732,0.05984162924644012,,,,,0.0373196685431038,0.06544199910036885,0.07987230638308718,0.056934094230957195,0.08280110812281626,0.0668153104781061
48,Chaetopeltidales,,,,,,,,,,,,,,,,,,,0.009595002688760006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Chaetothyriales,,,,,,,,,,,,0.3210714295695864,,,,,,,,,0.01795184592614303,0.010258703714131626,,,,,,,,,,0.031490097921060965,0.025104822262671692,,,0.00798315733880836,,0.009003530075820247,,,0.01907966171296492,,,,,,,,,,,,,
50,Charales,,,,,,,,,,,,,,,,,,,,,,0.010258703714131626,,0.01487739475591506,,,,,,,,0.01049669930702032,0.014494275891311212,,,,,,,0.05913123959890826,,,,,,,,,,,,,,
51,Chattonellales,,,,,,,,0.046373889576016826,,,,,0.07597371763975863,0.07905694150420949,,,,0.03235924008452868,,,0.031093509233728094,0.041034814856526505,0.028736106756903905,0.033266866002324966,0.03527825210468791,0.05322462954123495,0.06767682521924123,0.20126184217065105,0.2721655269759087,0.1647332451644634,0.10400060509618994,0.04810191912161113,0.04099600308453939,,0.09999324392797256,0.09711930066795749,0.05800147905657415,0.018007060151640494,0.036986336072765455,0.04181210050035454,0.00953983085648246,,0.03485780871878749,,,,,,,,,,0.03129587719622029,
52,Cheilostomatida,0.05949641173087296,,,0.03809696588797297,,,,,,,,,,,,,,,,,0.01465762082003711,0.027141978801486936,,0.04934273626337131,0.06440898155697222,,0.055257896399553766,,,,,0.1344233394916528,0.1386459125817644,0.24441185836892215,0.04649591398784622,0.05048992022024585,0.0410132391597531,0.018007060151640494,,0.04181210050035454,,,,,,,,,,,,,,
53,Chiroptera,,,,,,0.04828045495852676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009003530075820247,,,,,0.03485780871878749,,,,,,,,,,,
54,Chitonida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027771655953399792,0.020498001542269696,,,,,,,,,,,,,,,,,,,,,
55,Chlamydomonadales,,,,,,,,,,,,,0.037986858819879316,0.03952847075210474,,0.010495542964487809,,,0.028785008066280017,,0.02317573343521114,0.010258703714131626,0.028736106756903905,0.033266866002324966,0.02880457222458403,0.026612314770617474,0.039073233258228174,0.043574467033059505,,,0.031357362279453245,0.01049669930702032,0.010249000771134848,,0.011623978496961555,0.017850882484651814,,0.020132505286997907,,0.08362420100070908,0.013491358179982834,,0.03485780871878749,0.02992081462322006,,,,,,,,,0.03129587719622029,
56,Chlorellales,,,,,,0.04828045495852676,0.03520166719043814,,,,,,0.037986858819879316,,,,0.03724194613619293,0.06471848016905736,,,,0.017768596052671524,,0.01487739475591506,0.02880457222458403,,,,,,,,0.010249000771134848,,0.020133321342825528,0.021121448995587128,0.06484762498301509,0.012732914342459054,,,,,,,,,,,,,,,,
57,Chlorodendrales,,,,,0.04531432544294438,,0.09313485712076111,,,,,,,,,,,,,,,,,,,,,,,,,0.01049669930702032,,,0.011623978496961555,0.01382723411563243,,,,,,,,,,,,0.04025848411142373,,0.06544199910036885,0.03993615319154359,0.04025848411142373,,0.0472455591261534
58,Chlorokybales,,,,,,,,,,,,,,,,,,,,,,,,,0.014402286112292014,,,,,,,,,,0.011623978496961555,0.00798315733880836,,,,,0.00953983085648246,,,,,,,,,,,,,
59,Chlorosarcinales,,,,,,,,,,,,,,,,,,,0.013569382933450712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Chondrillida,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027628948199776883,,,,,,,,,,,,,,,,,,,,,,,,,,,
