,class,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
23,Cestoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014930362951083683,,,0.01811308890005546,,,,,,,,,,,,,,,,
24,Charophyceae,,,,,,,,,,,,,,,,,,,,,,0.014094296205853604,,0.01926642802132291,,,,,,,,0.013482771598464758,0.01815333528965787,,,,,,,0.07669649888473705,0.014204774743178402,,,,,,,,,,,,,
25,Chilopoda,,,,,0.049446817643414874,,,,,,,,,,,0.022332781224177665,,,,0.008340866684430747,0.01435324552810083,0.014094296205853604,,,,,,,,0.030206104666508846,,0.013482771598464758,,,,,,,,,0.014204774743178402,,,,,,,,,0.05447347107028433,,,,
26,Chlorarachniophyceae,,,,,,,,0.05447347107028433,,0.08944271909999159,0.09950371902099892,,0.1219097853074785,0.10540925533894598,,0.03158332209274327,0.04522156316461346,,,0.008340866684430747,0.037975118174004736,0.054586974481785386,0.07940510210053552,0.05449368761247979,0.05710402407201607,0.06327719971683327,0.04662524041201569,0.028016590734026292,,0.030206104666508846,0.06656812017278434,0.03813503690585527,0.03396178054056622,0.07173421497882156,0.029860725902167366,0.014439774556447694,,0.01811308890005546,0.06651901052377393,0.10846522890932808,0.04491944183807709,,,,,,,,,,,,,
27,Chlorodendrophyceae,,,,,0.049446817643414874,,0.11492409307804574,,,,,,,,,,,,,,,,,,,,,,,,,0.013482771598464758,,,0.014930362951083683,0.01768503983206007,,,,,,,,,,,,0.04867923835112355,,0.07703712157713453,0.04740454631399772,0.05337605126836238,,0.052199575097188054
28,Chlorokybophyceae,,,,,,,,,,,,,,,,,,,,0.008340866684430747,,,,,0.019034674690672024,0.03163859985841663,,,,,,,,,0.014930362951083683,0.010210462507669136,,,,,0.014204774743178402,,,,,,,,,,,,,
29,Chlorophyceae,,,,,,0.11909826683508273,,,,,,,0.06516352124510746,0.08164965809277261,0.014365088141937361,0.035311227577322434,0.06395294793910794,0.05383819020581655,0.04755362359255524,0.011795766787067874,0.051751362720891744,0.03729000266516986,0.05022019609518254,0.06674086442659999,0.06313087395543333,0.0707460599963348,0.11420804814403214,0.056033181468052584,,0.07398954355004851,0.07686624420240878,0.0602967876385414,0.04971495616050098,,0.036571770904709464,0.04896765796188228,0.0989743318610787,0.044367825470805686,0.10517579047791781,0.1328422328310143,0.053149400345273386,,0.055131784641997125,0.047431200545124896,,,0.07796811755854505,,0.06305666611194316,,,,0.03683547343418786,0.11672179831391769
30,Choanoflagellata,,0.09759000729485333,,,0.06992836012750656,0.05954913341754137,0.1063990353197863,,,,,,0.09215513551681828,0.06666666666666667,0.07735836711334626,0.10826217370053166,0.04522156316461346,0.03806934938134405,0.06480466530623452,0.04568480832206045,0.09301966244820366,0.07323611137639109,0.1375336712183217,0.2390900840685907,0.1922407910385578,0.21223817998900443,0.1681096950363583,0.028016590734026292,,0.04271788288583805,,0.09628624838882635,0.09519689337796318,0.07173421497882156,0.09203693844506947,0.07147323755368395,0.04948716593053935,0.06274558051381586,0.047036043419179864,0.05423261445466404,0.1774175796776985,,,0.033538923545276884,,0.028386647790182976,0.07796811755854505,,0.04458779620677098,0.05447347107028433,,,,0.10439915019437611
31,Chromadorea,0.11952286093343936,0.20701966780270625,,0.12216944435630522,0.08564440043098774,0.08421519210665189,,0.07703712157713453,0.13055824196677338,0.12649110640673517,0.1723454968864278,,,0.06666666666666667,,,,,0.012709240498782278,0.016681733368861494,0.01435324552810083,0.014094296205853604,,,,,,0.04852615860619696,,0.11698774032718691,0.06656812017278434,0.052218549861572365,0.048029210642807414,0.05857074126574227,,0.020420925015338272,,,,,0.020088585092257694,0.04496536355992374,0.07796811755854505,0.09486240109024979,0.044968037761571114,0.08515994337054893,,0.0843149140979014,0.16683225703703577,0.10894694214056866,0.105999788000636,0.17702833484793146,0.13281218822295596,0.052199575097188054
32,Chrysophyceae,,,,,,,,0.09435081955836586,,,,,0.13032704249021493,0.10540925533894598,,0.02735195926822197,,0.03806934938134405,0.012709240498782278,0.008340866684430747,0.037975118174004736,0.06303160882261205,0.10044039219036507,0.0638995127971175,0.05383819020581655,0.11838080086742957,0.10425720702853739,0.03962144258751637,,,0.03843312210120439,0.04044831479539428,0.04628210543937901,0.05857074126574227,0.05383218918142007,0.025010423181607754,,0.012807887989463999,0.11521430589638529,0.07669649888473705,0.031762841930819026,,0.038984058779272523,,,,,,0.06305666611194316,0.05447347107028433,,,,0.07382134705255622
