,family,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
12,Aeromonadaceae,0.0184584805050515,,0.03355634938133932,,0.025027388692774252,0.021706669928777428,,0.017172095624275907,0.014879041487311537,0.010070233033427314,,,0.005325330050886107,,,,,,,,,0.006947963546354251,,0.007769935060708123,0.008190395512691892,0.008139636684843386,0.008077396861210942,0.015272367808333498,0.07755517826366558,,,0.017715910735533164,0.015463968886154766,,,0.01025546633845091,,0.034676340963973686,0.010636291819660498,0.010734912730121303,0.012661609598007476,,0.007911877721292355,0.009883565582007928,,0.00843199095011761,0.018758611886567078,0.013278366471904961,,,,,0.011185934253567072,0.013656411517361291
13,Akkermansiaceae,0.00922924025252575,0.01631145576574385,0.009306856793215634,,,,,,0.010521071133233962,,,,,,,,,,,,,0.012034225871422,,,0.008190395512691892,,0.005711582094897191,,,0.011560500511143929,,0.02096174826833704,,,0.008037120776774875,0.01025546633845091,,,,,,,,0.012104846257626636,,,,0.007666268456952831,,,,,,
14,Alcaligenaceae,0.013052116735521604,,,,0.017697036260052198,,,0.013301448074460369,0.018223029752807485,0.02014046606685463,,,,,,,,,0.020236116462908824,,0.01593334682357269,0.006947963546354251,0.006482718229087164,0.02197669508322329,0.008190395512691892,0.012869895625183623,0.005711582094897191,,,0.011560500511143929,,0.013722685448323425,,0.006738783154362946,,,0.010581566249093503,0.012805087532889699,0.00868449590450234,0.006197804754462675,0.007310183709783566,,0.011189084777289188,0.009883565582007928,,,,,0.012677879810338969,,0.013085598064755342,,0.012916404304868808,0.011150413311667513
15,Alcanivoracaceae,0.030609927017672834,0.01631145576574385,0.038373153600925324,0.027897968424347944,0.014449569598886611,0.015348933503616631,,0.015359189252803046,0.023525830250021886,0.02014046606685463,0.010027613959936447,,0.007531153982076137,0.012998161973215577,,,0.022773681116356238,0.027081653346930988,0.014309095175803562,0.022481846213074776,0.06806728746802412,0.05854458146015048,0.08624695651372173,0.04661961036424874,0.037533107408537235,0.030994813077966758,0.0267896946714311,0.015272367808333498,0.03401019551746705,0.01634901661068084,0.025264173680905798,0.056022628748513686,0.053568759594968714,0.037519956695701295,0.02541560748447032,0.025120659603493658,0.0292990302372562,0.022179062202331765,0.015041988144721883,0.02400399459707909,0.08556350661524777,0.024704540308830143,0.025019554168026717,0.019767131164015857,0.02470831055537004,0.011924635959463524,0.025399280564021926,0.015332536913905662,0.020702891037108834,0.014707472779848216,0.025057012616801284,,0.025832808609737617,0.013656411517361291
16,Algiphilaceae,,0.011533940982981885,0.009306856793215634,,,0.012532351726590002,,,,,,,,,,,,,,,0.013798683116522041,0.006947963546354251,,,,,,,0.0062093837566925955,,,,,,,,,,,,,0.0100855863477755,,0.015627289321396377,0.01008712554448004,,0.010830289622333216,,,,,0.008640618939333617,0.011185934253567072,
17,Alicyclobacillaceae,,0.011533940982981885,,,,,0.008214123843159522,0.007679594626401523,,,,,,,,,,,,,,,,,,,,,0.008781394722693868,,,,,,,,,,,,,,,,,,,,0.01636707245688736,,,,,
18,Alteromonadaceae,0.022606929332243453,,0.06711269876267864,0.036527014868589246,0.03683931867386995,0.012532351726590002,0.008214123843159522,0.02303878387920457,0.021042142266467924,0.01424146013213046,0.01736833685729687,,0.0249780119969375,0.027057831835196486,0.04812047951884298,0.016622858516380252,0.020666778858056414,0.021335971781574446,0.020236116462908824,0.038939699888995476,0.08506079542602006,0.07982602371578905,0.0695194080695455,0.08546928566778936,0.09046587531123249,0.048154740032977934,0.049792418318786384,0.01763501133060864,0.10897424266525728,0.018278756253377788,0.009548960091317149,0.08079698421561962,0.07885107910809484,0.07163424753127806,0.05683102602472807,0.04624445905174328,0.03562286019610845,0.05726609236275288,0.08284481087849696,0.09521248327172163,0.07382923647729314,0.033450105706302205,0.026240729788698815,0.02614945659659034,0.033455210644249715,0.03675419644441217,0.03509414936549959,0.025426136013849396,0.021958731963758776,0.020799507473494475,0.018505830254940132,0.02592185681800085,0.026627849626078375,0.023653598597138538
19,Amoebophilaceae,0.00922924025252575,,0.009306856793215634,,0.014449569598886611,,,0.015359189252803046,,0.01424146013213046,0.010027613959936447,,,,,,,,0.03199610950961107,0.022481846213074776,,,,,,,,0.019716542059609966,0.008781394722693868,0.011560500511143929,0.009548960091317149,0.013722685448323425,0.007731984443077383,,,,,0.012805087532889699,,,0.012661609598007476,0.014263172997509043,0.011189084777289188,0.012104846257626636,0.014265349750363764,,0.013264341670638157,0.015332536913905662,0.007319577321252926,0.014707472779848216,0.010684346079267205,0.012219680491303427,0.0182665541450397,0.019313082381200476
20,Anaerolineaceae,0.06327248339543465,0.0326229115314877,0.009306856793215634,0.05678355222619051,0.05688801239885743,0.09707517905179369,0.06467807581914624,0.1162133544835568,0.09813401850418385,0.10318918209526966,0.09513029883089882,0.05606119105813881,,,,,,,,,0.013798683116522041,0.012034225871422,,,0.0141861811620665,0.005755592296247547,0.00989275037996262,0.060449773278405824,0.012418767513385191,0.049723592823336306,0.04478859290223893,0.02096174826833704,0.015463968886154766,0.006738783154362946,0.008037120776774875,0.015665483594340966,0.008639812663245068,0.01045531018908469,,,0.014620367419567131,0.0698749919138808,0.05188165176916922,0.06666829472793086,0.07060987881136029,0.08762782040738802,0.08212473722915689,0.08807871883228792,0.1097936598187939,0.09455582071044427,0.10358857855625753,0.10223718204091851,0.0536458561109605,0.05575206655833757
21,Anaeromyxobacteraceae,0.00922924025252575,,,,,,,,,,,,,,,,0.007811308179883532,0.005028936776652038,,,0.007966673411786345,,,,,,,,,,,,,,,,,,,,0.007310183709783566,,,,,,,,,,,,0.00913327707251985,0.011150413311667513
22,Anaplasmataceae,0.00922924025252575,0.011533940982981885,,,,,0.008214123843159522,,,,,,0.007531153982076137,0.005306477404737652,,,,,0.014309095175803562,,0.02642246653419582,0.030285470961962657,0.03109002443981023,,0.011582968415248612,,0.005711582094897191,,,0.011560500511143929,,,,0.006738783154362946,0.013920701531941524,0.014503419584298021,,0.01045531018908469,0.00868449590450234,,0.023116830637175376,,,0.009883565582007928,,,0.013264341670638157,,,,,0.008640618939333617,,
23,Aphanizomenonaceae,,,,,0.010217388648599704,,0.01422727983601522,,,,,,,,0.036375663364581604,,,,,0.02753452584887775,0.007966673411786345,0.006947963546354251,,,,,,,,,,,0.010934677263457818,,,,,,,,,,,0.0069887362453397725,,0.00843199095011761,,0.010841740824615753,,,,,,
24,Aphanothecaceae,,,,,,0.03195135300254533,0.04499060919039498,,,,,,,,,,,0.005028936776652038,,,0.007966673411786345,,,,,0.005755592296247547,,,,,,0.01584559227518818,0.010934677263457818,,0.022732410409891227,0.022154339360250217,0.013660743286509874,0.024519875842362655,0.0061408659452604035,,0.01934092813428288,0.03773680865810062,,0.012104846257626636,0.03774256780481986,0.026664296612298865,0.037517223773134156,0.03252522247384726,,,,,,
25,Aquificaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00792279613759409,,,,,,,,,,,,,,,,,,,,,,
