,phylum,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
10,Candidatus_Aerophobetes,,,,0.012011632893689353,,,,0.01681206597847716,0.01327563594308529,,,,,,,,,,,,0.010958616215778212,0.009584860210026594,,,,,,0.017887112908199845,,0.011430251099085133,,,,,,0.008234427981155555,,,,,0.010732233407321958,0.012808938634475362,,0.011781840740656828,0.012805787474814456,,0.01768411804008988,,,,0.00935683394350523,0.010708209436720592,0.01067825292446354,
11,Candidatus_Amesbacteria,,,,,,,,,,0.017959081948012177,,,,,,,,,,,,,,,,,,0.017887112908199845,,,,,,,,,,,,,,,,,,,,0.009860954752304332,,,,,,
12,Candidatus_Aminicenantes,0.0281176655722901,0.026156271009317916,,0.03397402828900454,0.03776409193990551,0.05446644450191324,,0.06724826391390865,0.057867155487145064,0.06598588053218754,0.06844688281701893,,,,,,,0.005117382927227852,,,,0.009584860210026594,,,,,0.009953328775594537,0.012648098833237536,0.0054620756701705304,0.019797775646885455,0.028185793008312678,,0.010245772569856445,,,0.008234427981155555,,,,,,0.033889266185509075,0.037872607240618535,0.024993058447735132,0.03388092900070486,0.0388192205830916,0.03228663453380425,0.02789099189731242,0.05916151931733839,0.06817623554489752,0.056141003661031384,0.05865127858981557,0.04066157571987103,0.035005572163722715
13,Candidatus_Andersenbacteria,,0.015101330108226502,0.007155096986834278,,,,,0.00970645081830754,,,,,,,,,,,,,,,,0.006713980440645823,,,0.012190288371183735,,0.0038622707457316384,0.027998282824645185,0.019930365369298274,,,0.008543888403602633,,,,,,,,0.012808938634475362,,,0.012805787474814456,,,,,,0.01871366788701046,,,
14,Candidatus_Atribacteria,0.021254957300560637,0.030202660216453004,0.010118835198875903,0.012011632893689353,0.016888615337236124,0.019670968157734586,,0.04002072197374496,0.0325185340715111,0.035918163896024355,0.017975032046140385,,,,,,0.009667063740513711,0.011442816092178336,,0.025828499910081307,,0.016601464867211358,,0.013427960881291646,0.01031010021079477,,,0.012648098833237536,,0.04426917214972575,0.03452040543303586,,,,,,,0.01097907187727647,,,0.010732233407321958,0.012808938634475362,0.026779977401056105,0.020406746769502555,0.012805787474814456,0.017360483211470365,0.01768411804008988,0.02608963396425779,0.026133187452480767,0.026080548100648613,0.022919468769541537,0.02833125915635773,0.022651995162339754,0.012782227674963906
15,Candidatus_Azambacteria,,,,,,,0.009791694290843173,,,,,,,,,,,,,,,,,,,,0.008619835571883531,,,,,,,,,0.014262447634628238,,,,,,,,,,,0.01020993031082701,,,,,,,
16,Candidatus_Beckwithbacteria,,,,,,,,,,,,,,,,,,,,,,,,,,0.005016834641463939,,0.012648098833237536,,,,,,,,,,,,,,,,,,,,,0.013066593726240383,,,,,0.012782227674963906
17,Candidatus_Bipolaricaulota,,,,,,,,,,,,,,,,,,,,,0.010958616215778212,,,,,,,,,,,,,,,,,,,,,0.012808938634475362,,,0.012805787474814456,0.014174775185418743,,,,,0.00935683394350523,0.010708209436720592,,
18,Candidatus_Calescamantes,0.010627478650280318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Candidatus_Campbellbacteria,,0.033767600672658715,0.007155096986834278,,0.029251939833579956,0.011357038761088619,,0.01941290163661508,0.02655127188617058,0.03359836581522915,,,,,,,,,,,,0.016601464867211358,0.012796609859318029,0.011628955244222245,0.012627242356704236,0.011217983290189153,0.019906657551189075,,0.0054620756701705304,0.011430251099085133,,0.010757042116817496,0.02049154513971289,0.014798448809238307,0.011256579987082013,,0.008781225437900601,0.01097907187727647,0.005961470337137241,0.005957343250342909,,0.012808938634475362,0.013389988700528052,0.014429749022671929,0.012805787474814456,0.02004615931080879,0.01020993031082701,0.009860954752304332,0.018478954061668346,,0.01871366788701046,,0.013078135504658958,0.009038399867637334
