,family,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
53,Canuellidae,0.06691496051182058,0.1414213562373095,,0.05022019609518254,0.08481889296799709,,,,,,,,,,0.0536189109159449,0.019787437382135124,,,0.06299407883487121,0.05953447444742104,0.013289696638228264,0.01614935076204746,,,0.013004571910681174,,,0.03287979746107146,,,,0.009768308314557043,0.023269451574769878,,0.027567388637586503,0.007224407713151682,,0.05019881469787353,,,0.03460642701029914,0.01331795258076845,,,0.01331795258076845,,,,,,0.055006532413609206,,0.06208904988523744,0.11879774082787287
54,Capitellidae,0.03863337046431279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05611465906367124,0.009499713825431449,0.031023602427884885,,0.010216855368051905,,,,,,,,,,,,,,,,,,
55,Cardiidae,,,,,,,,,,,,,,,,0.013991831155211932,,,,,,,,,,,,,,,,0.030890103160760775,0.04455760744061619,0.043873999307185683,,,,,,,,,,,,,,,,,,,0.08330120172105986,
56,Carditidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009768308314557043,0.009499713825431449,,,,,,,,,,,,,,,,,,,,,
57,Caryophyllaceae,,,,,,,,,,,,,,,,,,,,,,,0.0240841525429544,,,,,,,,,0.013814474099888441,0.023269451574769878,,,0.007224407713151682,,,,,0.020559281205269585,,,,,,,0.03511474936103118,,,,,0.027767067240353285,
58,Catenulidae,,,,,,0.04372694694466261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Catostylidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008393291405217137,,,,,,,,,,,,,
60,Celleporidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009768308314557043,0.013434624130588352,,,,,,,,,,,,,,,,,,,,,
61,Cephalobidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009499713825431449,,,,,,,,,,,,,,,,,,,,,
62,Cephalodiscidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024310831916315757,,,,,,,,,,,,,,,,,,,,,,,,
63,Cephalothricidae,,0.05773502691896258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028759865427152538,,,,,,,,,,
64,Ceramiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0662518903662321,0.06850341059965451,,,0.012513041213771196,,,,,,,,,,,,,,,,,,
65,Cercomonadidae,,,,,,,,,,,,,,,,0.009893718691067562,,,,,0.021012855394742028,0.022838630871207796,0.0417149758616362,0.04006772717945391,0.04313128558692467,0.022054054569561544,0.05722856952873867,0.06151246852292455,,0.05436067275445352,0.08940299326232247,,0.02124200588045929,,0.02083898703729188,0.02284558311924769,0.042575683456079316,0.014293981904335416,,,,,,,,,,,0.03566881875032109,,,,,
66,Chaetocerotaceae,,,,0.10653312363426524,,,,0.04463218426774518,,0.1336306209562122,,,,,,0.013991831155211932,,,0.015586992159713741,0.009922412407903508,0.0398690899146848,0.04567726174241559,,0.0231331130728742,0.03440686318251846,,,0.04026936331284146,,,0.042144975196108964,0.05260395016079195,0.03554467440716411,,0.03294933158428328,0.019113986178736202,,0.014293981904335416,,,0.023739813076415216,,,0.028759865427152538,,,,0.03511474936103118,0.10700645625096325,0.06318240236065634,0.07779098415844139,0.04096159602595202,,
67,Chaetonotidae,0.07726674092862558,0.08164965809277261,,,0.042409446483998546,,,0.07730521080451097,,0.0668153104781061,,,,,,,,,,,,,,,,,,,,,,0.009768308314557043,,,,,,,,,,,0.03280893574623933,0.04067259173910421,,,,,,0.06318240236065634,0.07779098415844139,,0.06208904988523744,
68,Champiaceae,,,,,,,,,,,,,,,,,,,,,,,,,0.013004571910681174,,,,,,,0.039073233258228174,0.03554467440716411,,,,,,,,,,,,,,,,,,,,,
69,Characeae,,,,,,,,,,,,,,,,,,,,,,0.009323832009705789,,,,,,,,,,0.009768308314557043,0.009499713825431449,,,,,,,,,,,,,,,,,,,,,
70,Chattonellaceae,,,,,,,,0.04463218426774518,,,,,,,,,,,,,0.01627648780002011,0.026371779362828637,,0.01335590905981797,,,0.03304093002275449,0.14704292441876154,0.1270001270001905,0.05954913341754137,0.05960199550821498,0.04257906879250228,0.034251705299827254,,0.0846483655023351,0.0823709213543221,,0.011670987352732655,,0.033709993123162106,0.008393291405217137,,0.03280893574623933,,,,,,,,,,,
71,Childiidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027767067240353285,
72,Chironomidae,,,,,,,,,,,,,,,,,,,,,,0.009323832009705789,,,,,,,,,,,,,,,,,,0.033709993123162106,0.008393291405217137,,,,,,,,,,,,,
73,Chlamydomonadaceae,,,,,,,,,,,,,,,,,,,0.01799830823853463,,,,,,,,,,,,,,,,,,,0.016505268600519388,,,0.008393291405217137,,0.03280893574623933,,,,,,,,,,,
74,Chlorellaceae,,,,,,,0.03261640365267211,,,,,,0.03170213124741207,,,,,,,,,0.01614935076204746,,0.01335590905981797,0.026009143821362348,,,,,,,,,,,0.012513041213771196,0.054964970992931274,0.008252634300259694,,,,,,,,,,,,,,,,
75,Chlorocystidaceae,,,,,,0.06183924141031063,0.06523280730534423,,,,,,,,,,,,,,,,,0.029864720559058283,0.03901371573204352,0.03819874302737716,,,,,,0.049808794710717016,0.05289216809432088,0.07599199593128732,0.01473538904712765,0.012513041213771196,,,,,,0.029779847291717013,,,0.029779847291717013,0.07509392614826382,0.09740465098831573,0.04965975478570227,,,,,,
76,Chlorodendraceae,,,,,0.042409446483998546,,0.08629489272626914,,,,,,,,,,,,,,,,,,,,,,,,,0.009768308314557043,,,0.01041949351864594,0.012513041213771196,,,,,,,,,,,,0.03511474936103118,,0.06318240236065634,0.038895492079220696,0.04096159602595202,,0.04490132550669373
77,Chlorokybaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01041949351864594,,,,,,0.008393291405217137,,,,,,,,,,,,,
78,Chondracanthidae,0.03863337046431279,,,,,,,,,,,,,,0.06529098452205499,0.055967324620847726,,,0.06489382322564256,0.07086019804952842,,,,,,,,,,,,,,,0.025522442498919037,0.010216855368051905,,0.016505268600519388,,,0.0444131234790008,,,,,,,,,,,0.04096159602595202,,
79,Chromulinaceae,,,,,,,,0.04463218426774518,,,,,0.044833583966222036,,,,,,,,,0.01614935076204746,0.0417149758616362,,,,0.023363465675799888,,,,,0.013814474099888441,0.009499713825431449,,,0.007224407713151682,,,,0.033709993123162106,0.008393291405217137,,0.03280893574623933,,,,,,,,,,,
