,species,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
54,Cercozoa_sp._CC-2009d,,,,,0.038604571824109146,,,,,,,,,,,,,,,,0.024643514691837506,0.02582945721257455,0.04518692389245682,0.024766970996132395,0.02963911783442497,,,,,0.03970463730922457,0.03904344047215152,0.022521722824543063,0.0089314199121113,,,0.009393916965881583,,,,,0.02000914913131111,,,,,,,,,,,,,
55,Cercozoa_sp._YPF501,,,,,,,,,,,,,,,,,,,,,0.008712798175434305,,,,0.017112152660248292,,,0.05378624789733594,,,0.027607881518711637,0.00919445484142067,0.0089314199121113,,,0.006642502388478226,,,,,,,0.030358837035945815,,,,,,,,,,,
56,Chaetoceros_affinis,,,,0.07985108350337598,,,,,,,,,,,,,,,,,0.019482408994507244,0.022779440094751954,,0.012383485498066197,0.012100119186760988,,,0.03803262062278692,,,,,,,,0.009393916965881583,,,,,0.013099062926556153,,,0.02665955839873639,,,,,0.07324484191363095,,0.062136976600120006,,,
57,Chaetothyriales_sp._MP-2014,,,,,,,,,,,,0.06700450003227149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Champia_gigantea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015925262933238246,0.012630935170956916,,,,,,,,,,,,,,,,,,,,,
59,Chattonella_marina,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09053574604251853,0.11624763874381928,0.045846966077114526,0.03904344047215152,,,,,,,,,,,,,,,,,,,,,,,
60,Chiharaea_bodegensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0095980959266335,,,,,,,,,,,,,,,,,,,
61,Chlamydomonas_parkeae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007549373937505315,,,0.007562747506779042,,,,,,,,,,,,,
62,Chondria_scintillans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02432624095121291,0.01997126205907606,,,,,,,,,,,,,,,,,,,,,
63,Chromulina_sp._SAG_17.97,,,,,,,,,,,,,0.030443128277399152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Chrysochromulina_sp._NIES-1333,,,,,,,,,,,,,0.1009684339407915,0.09667364890456635,0.031018174925669124,0.034877489995229945,0.10889310129609416,0.13002206622307627,0.01697844257437558,0.013206571640296223,0.02755228702773172,0.03752933125204008,0.07826604801948324,0.059389110120111784,0.04840047674704395,0.08696565534786727,0.07557490271902442,,,,,0.030494556860859022,0.03459124057759237,0.058495538057412345,0.05078834976322858,0.05230311611001981,0.10434798389121028,0.01067642700984599,0.07142857142857142,0.09378205989492577,0.02726787391907928,,,,,,,,,,,,,
65,Chylocladia_verticillata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00919445484142067,,,,,,,,,,,,,,,,,,,,,,
66,Ciliophrys_infusionum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0089314199121113,,,,,,,,,,,,,,,,,,,,,
67,Ciona_intestinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015925262933238246,0.02187742146320606,,,,,,,,,,,,,,,,,,,,,
68,Ciona_savignyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012630935170956916,,,,,,,,,,,,,,,,,,,,,
69,Cirratulus_spectabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09728029528783591,0.030358837035945815,,0.09727618569210555,0.05476677934638849,,,,,,,,
70,Cladococcus_viminalis,,,,,,,,,,0.13041013273932528,0.09379580992210837,,,,0.016198713549252848,0.01318245212593168,0.08891084489487741,0.0679018095318889,,0.011437226537395652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04130961923860138,,0.05326236412913075,0.06386593708529188,
71,Claudea_elegans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00919445484142067,,,,,,,,,,,,,,,,,,,,,,
72,Clytia_hemisphaerica,,,,,,,,,,,,,,,,,,,,,,,0.031951980305316645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Colobanthus_quitensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00919445484142067,0.015469673071509127,,,,,,,,0.015125495013558084,,,,,,,0.030457245193658635,,,,,0.02607315963394304,
74,Coniophora_puteana,,,,,,,,,,0.05832118435198043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Corallina_officinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00919445484142067,,,,,,,,,,,,,,,,,,,,,,
76,Corbicula_fluminea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014853086881342029,,,,,,,,,,,,,,,,,,
77,Corchorus_olitorius,,,,,0.0863224468409811,,,,,,,,,,,,,,,,,0.008609819070858183,0.02259346194622841,0.01751289314081576,0.012100119186760988,,,,,0.022923483038557263,,0.022521722824543063,0.015469673071509127,,0.0095980959266335,0.01757440940306594,,,,,0.013099062926556153,,0.030358837035945815,0.02665955839873639,,,,,,,,,,
78,Cordagalma_cordiforme,,,,,,,,,,,,,,,,,,,0.00848922128718779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Corynactis_australis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007562747506779042,,,,,,,,,,,,,
80,Crepidula_fornicata,,,,,,,,,0.0576390417704235,0.05832118435198043,,,,,,,,,0.00848922128718779,,,,,,,,,,,,,,0.0089314199121113,,,,,,,,,,,0.03770230905437056,,0.042422164866795786,,,0.06551217820804184,,,,,
