,orderx,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
10,Alteromonadales,0.10546147692022179,0.0769030039239295,0.8852109715035247,0.1215389235485165,0.10001351625335632,0.0567139164384463,0.021614865071895487,0.053355513327985916,0.04523808607910562,0.05247606325546442,0.06398461251892554,0.054291659234758656,0.048231930592583,0.04299222279616158,0.07455442850360901,0.07202824060656197,0.038834951456310676,0.042078780192095974,0.03804729936537234,0.07288082553647555,0.14297771617289115,0.13677359076471599,0.12232104762162664,0.4409507535480027,0.44505536493137043,0.3469657515444187,0.33261500257517024,0.08048694987547403,0.6123884151448336,0.06298852453614906,0.07419776742276687,0.2869289395900473,0.3059495202061211,0.1937053148410102,0.16385168809202955,0.14221696802983477,0.09306429325538584,0.16218976137497582,0.12560843566197677,0.1410303810059397,0.12733512205545444,0.06863744455115557,0.07197296981371676,0.07037077971002009,0.06655583256397218,0.07366276963720221,0.06913837373523726,0.05716385997019676,0.05575143640991559,0.059120066950797405,0.05404747453311749,0.04903139111963329,0.06873372465324587,0.07422251704117926
11,Anaerolineales,0.08128469628421157,0.055955154371585436,0.011710533209110913,0.08976244386966019,0.0846409971879722,0.14496295966973377,0.10045681494476591,0.16619795085208164,0.14954982879853296,0.14118007019883513,0.14121576108219755,0.06503185863441961,,,,,,,,,0.01632920589219732,0.026225138878868803,,0.02225246216253659,0.021412736228951155,0.015594950798046835,0.012046735616310667,0.09182525037637418,0.020749989860802887,0.08450797359914561,0.07594383613707287,0.033113308926626096,0.040769434553428824,0.012300299792710091,0.013139708280690917,0.019353278024377966,0.010246041470127337,0.017670078548312127,,,0.0171309744653808,0.11593311751732963,0.08133019080418304,0.0969671088402051,0.1158769347577824,0.14496277724880774,0.13269045141032124,0.1429096499254919,0.16057434355417843,0.1364165833923698,0.15213261898018765,0.14709417335889988,0.08481661616466363,0.08476808799610246
12,Aquificales,0.01049380916700931,,,,,,,0.008771592358278379,0.017098389364835216,0.011451215811497927,0.011491975656527783,,,,,,,,,,,,,,,,,,0.00625635734290564,,,0.016556654463313048,,,0.01858235365617916,,0.010246041470127337,,,,,,,0.01119679727828643,,,,,0.026578454456779553,,,0.016984972116997264,0.014654079333861302,0.01787068206435081
13,Ardenticatenales,0.06296285500205587,0.055955154371585436,0.02618554830834076,0.06463634701940643,0.06260973065373399,0.09086034347091959,0.09221216587732718,0.12217414417528237,0.12965495684744116,0.11900452556370289,0.12588828594761015,,,,,,,,0.017015269548251433,,0.03265841178439464,0.034193397691178996,,0.020313625810752467,0.02533589118098853,0.012079796945151891,,0.10341222076524115,0.01251271468581128,0.10950265084166105,0.13400668876355634,0.040555355282690636,0.04387016097995668,0.008697625394052791,0.024582143274250946,0.01676043041561443,,0.012494632365610452,,,0.019153011712702294,0.0676205373038589,0.06560087390664783,0.07125598154742672,0.06758776747527884,0.08428163408314611,0.09014541046931168,0.08669328601104129,0.16319257611003218,0.1530593608953074,0.16051747641670788,0.15160138235718335,0.0558010716410085,0.05927034715518552
14,Arenicellales,0.029680974489879355,0.01865171812386181,0.020283238501902712,0.017274790377088994,0.030760391352007917,0.014643470257620106,0.025575053253253384,0.026314777074835136,0.027034927356639503,0.019834087593950483,0.019904685716450824,,,,,,,,,,0.009427671417512945,,,0.009084529636467359,,0.006974274018039464,,0.02267462937912591,0.01083632878821919,0.0162635671020455,0.032382560534434064,0.016556654463313048,0.018706299495125426,,,0.0068424170646131256,,,,,,0.016647025515111165,0.03092454852743621,0.02854634390586255,0.016638958140993046,0.014046939013857684,0.021863473472331304,0.015654967789871677,0.02377249236089653,0.027490272741626826,0.028703803258001315,0.03252374545859747,0.02198111900079195,0.02188702620658331
15,Bacillales,0.0620822122606492,0.06186075071232119,0.0758929291683419,0.06347163275611356,0.05813167553459631,0.07321735128810053,0.0952036050067391,0.1231151656070937,0.13408887914587797,0.1222655273002616,0.12107547645338924,0.41993146154794797,0.03487162820449068,0.019226706535206674,,0.07779939172227664,0.021709397839803784,0.01418475390906605,0.051045808644754304,0.07983694431185241,0.060366551356030036,0.06423820868685347,0.022286284185125113,0.0861834153676149,0.08880478980518428,0.057932670984776134,0.06487365668180999,0.09126362278141088,0.7862625908374572,0.08345814435139769,0.097819991920069,0.0734239870297509,0.06412196409511818,0.019448481623930435,0.054967343393864374,0.04789691945229188,0.012548786742603993,0.05151668899667295,0.029606192210272646,0.03445920656970735,0.0695863472327958,0.07718908185596189,0.053562889250648824,0.05427848863352311,0.07715167498104596,0.07499013352623501,0.08325362663567487,0.0798249862452222,0.14114135327739052,0.11081683220701063,0.12748907466911827,0.11094537328544822,0.06873372465324587,0.07891479525526021
16,Bacteriovoracales,0.04326708361065426,0.04170650962211985,0.4879232694188432,0.042314421837409036,0.03856019123658773,0.0343419818374235,,0.030385687255642117,0.031988157434436344,0.02804963567266072,0.04299903560387349,0.056602967567610366,0.049315929548822864,0.054381338283713394,0.055062094581727776,0.10186331473967243,0.026588473665299324,0.026913678240975396,0.017015269548251433,0.018817748237374535,0.03265841178439464,0.04691295460201861,0.047928466388548564,0.037456475250208926,0.02872820027532437,0.038199672019024064,0.039344473768231684,0.020280805062535753,0.07662441569316793,0.026558293865017596,0.03434689221912329,0.06412364700532212,0.06744652200386085,0.06737151660543436,0.016092790328357795,0.01676043041561443,0.014490090807691246,0.021641338079131812,0.010810652876933374,0.02778190051668434,0.014835859078602315,0.06447365258391548,0.028230121348566634,0.02742644008518522,0.06444240777830838,0.07093356496966331,0.05280530517797859,0.05423039920582401,0.026578454456779553,0.029157837408408046,0.04818634092174731,0.03396994423399453,0.042090638380352256,0.04728138050137462
17,Bacteroidales,0.03783596702658612,0.02637751273232543,0.059712237347832875,0.045704799288549175,0.03856019123658773,0.058573881030480425,0.013670440988881778,0.05038896181202439,0.03419677872967043,0.042846526228633774,0.03980937143290165,0.10188534162169866,0.0325179609718561,0.026201584397247176,,0.046494029387639225,0.02746045752180767,0.025374459187822048,0.061349426822061535,0.05645324471212361,0.035275116399414864,0.04975870248687602,0.0352377093033925,0.031469733786453374,0.02872820027532437,0.02701124712375393,0.03031695312954162,,0.040060233340400084,0.009389774844349512,0.04127982701629472,0.07216878364870322,0.07655883021195055,0.04260948837860561,0.06437116131343118,0.05886069720256513,0.025097573485207986,0.07951535346740457,0.04834670942795338,0.04811966322572132,0.037336093249485315,0.0696395040459317,0.042813098791328275,0.02854634390586255,0.0686041819155452,0.056187756055430735,0.049696337290480765,0.04141915155472693,0.036635871198745895,0.048596395680680075,0.04412957816406878,0.04599552192671891,0.042090638380352256,0.039960059900174684
18,Bacteroidetes_Order_II._Incertae_sedis,0.03783596702658612,0.06594378183081358,0.04684213283644365,0.0680109177255511,0.05327856068238002,0.017934515097395496,0.009666461525048837,0.04297185101895639,0.05129516809450565,0.05609927134532144,0.0526628483306284,,,,0.031790115128905165,,,,,,0.036513214393543304,0.04146558540573001,0.05166862430376241,0.0642373250983623,0.05331728323373155,0.05172260042117486,0.05735393346764044,0.03042120759380363,0.040060233340400084,0.03871503348402067,0.036204803320248245,0.033113308926626096,0.03622459320689449,,,0.01530010968687952,,0.015302736909704757,0.007644285958333447,0.007705312834057299,0.019153011712702294,0.020388359123557322,0.042813098791328275,0.040370626707837365,0.02037847864848056,0.0444203214372698,0.019958529343686093,0.015654967789871677,0.05112467792417951,0.04007361448315076,0.04059330785915449,0.03396994423399453,0.04516690592313644,0.04894087842323964
19,Balneolales,,,0.020283238501902712,,,0.010354497119266696,0.019332923050097674,,0.012090387067242926,0.011451215811497927,,,0.026216818280421668,0.021801036009847365,0.0224790059823499,0.04158552410345369,,,,,0.038871285058022446,0.034193397691178996,0.09222591108311265,0.018169059272934718,0.016586234162292005,0.032712244767539374,0.026937319745038473,,,,0.016191280267217032,0.016556654463313048,0.018706299495125426,0.03012945817540142,,,0.007245045403845623,0.01975574840089336,0.029606192210272646,0.03531017931538228,,,0.00892714820844147,0.01119679727828643,,,0.01262288229467072,0.012782227674963906,0.011886246180448265,0.021732968840695564,0.01223934283347277,0.02402037792438639,0.007327039666930651,0.019980029950087342
